[9999, 64, 35, 47, 82, 32, 89, 61, 99, 43, 11, 69, 41, 29, 87, 72, 11, 20, 45, 13, 45, 41, 29, 25, 9]
[43, 9999, 78, 78, 55, 82, 12, 9, 89, 78, 43, 89, 83, 56, 1, 30, 44, 35, 56, 90, 14, 26, 57, 35, 89]
[75, 59, 9999, 17, 35, 80, 27, 69, 75, 16, 53, 88, 80, 90, 16, 81, 70, 64, 55, 67, 69, 87, 17, 64, 74]
[67, 39, 12, 9999, 48, 98, 67, 20, 1, 46, 2, 76, 88, 53, 61, 84, 69, 29, 21, 93, 74, 13, 18, 33, 49]
[32, 44, 5, 81, 9999, 67, 7, 11, 83, 31, 88, 34, 68, 54, 60, 74, 54, 99, 51, 61, 12, 52, 16, 47, 7]
[100, 100, 3, 9, 57, 9999, 86, 82, 73, 2, 40, 41, 45, 70, 83, 88, 67, 64, 12, 39, 21, 56, 26, 15, 85]
[12, 2, 21, 17, 7, 19, 9999, 4, 40, 88, 95, 46, 3, 23, 65, 7, 31, 75, 91, 40, 90, 76, 4, 20, 64]
[52, 56, 45, 70, 20, 29, 4, 9999, 67, 78, 37, 84, 43, 49, 42, 6, 19, 69, 62, 37, 17, 15, 41, 49, 92]
[33, 66, 70, 16, 13, 72, 9, 4, 9999, 14, 39, 81, 63, 60, 33, 38, 86, 79, 32, 34, 29, 74, 85, 26, 32]
[39, 32, 7, 72, 64, 24, 31, 15, 90, 9999, 36, 93, 49, 98, 1, 94, 37, 72, 13, 21, 86, 56, 30, 63, 51]
[97, 70, 7, 68, 40, 64, 16, 21, 22, 99, 9999, 43, 65, 26, 4, 30, 25, 64, 37, 91, 87, 60, 82, 82, 69]
[72, 15, 28, 5, 46, 4, 25, 12, 29, 19, 14, 9999, 91, 57, 16, 33, 94, 64, 28, 22, 47, 50, 80, 8, 14]
[11, 98, 47, 52, 80, 4, 6, 49, 61, 77, 41, 55, 9999, 100, 16, 68, 62, 60, 32, 59, 81, 89, 71, 68, 16]
[96, 16, 32, 86, 20, 69, 2, 61, 38, 39, 68, 86, 73, 9999, 50, 94, 72, 78, 49, 68, 20, 76, 18, 5, 68]
[28, 51, 50, 36, 44, 87, 48, 44, 40, 45, 40, 61, 20, 14, 9999, 10, 96, 85, 69, 69, 43, 70, 82, 56, 53]
[61, 70, 3, 55, 27, 19, 81, 74, 98, 40, 59, 84, 43, 5, 43, 9999, 32, 21, 32, 67, 46, 1, 100, 86, 48]
[32, 13, 65, 52, 94, 87, 55, 43, 68, 87, 77, 44, 58, 37, 58, 83, 9999, 83, 25, 23, 73, 55, 89, 51, 99]
[59, 97, 90, 43, 36, 48, 75, 55, 84, 8, 53, 44, 87, 32, 13, 6, 69, 9999, 45, 79, 82, 96, 86, 59, 8]
[45, 83, 70, 62, 23, 35, 53, 64, 34, 26, 4, 40, 79, 80, 12, 85, 44, 10, 9999, 93, 48, 99, 47, 8, 47]
[10, 2, 57, 9, 75, 38, 51, 90, 15, 85, 92, 17, 64, 88, 54, 22, 70, 67, 18, 9999, 30, 37, 3, 91, 7]
[33, 55, 97, 55, 67, 58, 69, 30, 4, 24, 92, 98, 29, 38, 34, 91, 86, 97, 46, 47, 9999, 94, 84, 30, 76]
[60, 80, 64, 50, 30, 80, 60, 99, 90, 87, 36, 51, 74, 75, 45, 99, 85, 31, 95, 24, 66, 9999, 61, 68, 67]
[36, 77, 72, 29, 13, 100, 19, 71, 48, 70, 13, 36, 14, 91, 51, 67, 51, 32, 37, 16, 41, 16, 9999, 45, 64]
[21, 21, 99, 2, 94, 5, 32, 4, 94, 90, 11, 69, 57, 42, 71, 33, 22, 1, 70, 42, 92, 79, 47, 9999, 94]
[96, 70, 92, 93, 8, 92, 80, 91, 63, 56, 97, 71, 84, 4, 67, 1, 39, 76, 55, 60, 93, 50, 23, 51, 9999]
Cost: 449
Path: [1, 14, 15, 21, 19, 22, 4, 2, 9, 18, 10, 6, 12, 5, 3, 8, 7, 20, 23, 17, 24, 13, 16, 0, 11]
reference value not found in .env
